distance,source,target
5.4041805206710105,Gl-667C,Gl-618B
5.4041805206710105,Gl-667C,Gl-618A
0.0,Gl-667C,Gl-667C
0.0024698178070457094,Gl-667C,Gl-667A
6.611789907430513,Gl-667C,Gl-663B
6.6120498682329965,Gl-667C,Gl-663A
6.167298526907872,Gl-667C,Gl-664
9.194482624378601,Gl-667C,GJ-1224
9.199322423961451,Gl-667A,Gl-693
9.307666540008832,Gl-667A,Gl-674
5.077174100816319,Gl-667A,Gl-666B
5.077174100816319,Gl-667A,Gl-666A
8.541264141800088,Gl-667A,Gl-682
8.846049631897843,Gl-667A,Gl-588
5.40348003975216,Gl-667A,Gl-618B
5.40348003975216,Gl-667A,Gl-618A
0.0024698178070457094,Gl-667A,Gl-667C
0.0,Gl-667A,Gl-667A
6.610887506227889,Gl-667A,Gl-663B
6.611147308901836,Gl-667A,Gl-663A
6.166317229919331,Gl-667A,Gl-664
9.193502694294487,Gl-667A,GJ-1224
9.076184018077202,Gl-318,Gl-367
0.0,Gl-318,Gl-318
8.375764815824285,Gl-318,Gl-357
8.662857005630418,Gl-799A,Gl-784
8.617998032605948,Gl-799A,Gl-783A
0.0,Gl-799A,Gl-799A
5.179413822045888,Gl-799A,Gl-785
7.703937814520572,Gl-879,Gl-915
0.0,Gl-879,Gl-879
4.314839737464187,Gl-879,Gl-881
4.026750973179246,Gl-879,Gl-884
6.117491611763763,Gl-879,Gl-867B
6.117491611763763,Gl-879,Gl-867A
6.963948504261071,Gl-879,NN-4274
9.874525437710918,Gl-881,Gl-832
8.645113871430498,Gl-881,Gl-915
8.160579573167581,Gl-881,Gl-1
9.90555964042416,Gl-881,Gl-887
4.314839737464187,Gl-881,Gl-879
0.0,Gl-881,Gl-881
5.07941126509756,Gl-881,Gl-884
8.227788326154242,Gl-881,Gl-867B
8.227788326154242,Gl-881,Gl-867A
6.478066187528497,Gl-881,NN-4274
8.4078813960474,Gl-881,GJ-1005AB
7.548974662826734,Gl-881,Gl-876
5.245159473266757,NN-3877,Gl-588
9.14028331563087,NN-3877,Gl-618B
9.14028331563087,NN-3877,Gl-618A
0.0,NN-3877,NN-3877
2.763131623719724,NN-3877,Gl-570A
2.764018728228881,NN-3877,Gl-570B
5.846626385361048,NN-3877,Gl-555
7.512638706872572,NN-3877,Gl-581
5.179413822045888,Gl-785,Gl-799A
0.0,Gl-785,Gl-785
6.247453924600005,Gl-663B,Gl-674
9.763374198503303,Gl-663B,Gl-754
5.554869251386571,Gl-663B,Gl-682
8.598771957087827,Gl-663B,Gl-588
9.650665248572246,Gl-663B,Gl-618B
9.650665248572246,Gl-663B,Gl-618A
6.611789907430513,Gl-663B,Gl-667C
6.610887506227889,Gl-663B,Gl-667A
0.0,Gl-663B,Gl-663B
0.0005656854249491757,Gl-663B,Gl-663A
0.5386929180897023,Gl-663B,Gl-664
9.184481901011074,Gl-663B,Gl-729
9.988752982229563,Gl-663B,Gl-570A
9.990168395978118,Gl-663B,Gl-570B
9.240288974377371,Gl-663B,GJ-1224
6.156740755464696,Gl-663B,Gl-628
7.334864438420113,Gl-663B,Gl-644C
7.352792630014803,Gl-663B,Gl-644A
6.164981901838805,Gl-663B,Gl-643
9.222160019214588,Gl-663B,Gl-702B
9.222160019214588,Gl-663B,Gl-702A
6.2479422196432,Gl-663A,Gl-674
9.76383840402943,Gl-663A,Gl-754
5.5553772509164485,Gl-663A,Gl-682
8.599064007785966,Gl-663A,Gl-588
9.650882027048098,Gl-663A,Gl-618B
9.650882027048098,Gl-663A,Gl-618A
6.6120498682329965,Gl-663A,Gl-667C
6.611147308901836,Gl-663A,Gl-667A
0.0005656854249491757,Gl-663A,Gl-663B
0.0,Gl-663A,Gl-663A
0.538650368977873,Gl-663A,Gl-664
9.184544240733993,Gl-663A,Gl-729
9.988644611757893,Gl-663A,Gl-570A
9.990059988808875,Gl-663A,Gl-570B
9.240064177807426,Gl-663A,GJ-1224
6.156448262594269,Gl-663A,Gl-628
7.334328027161044,Gl-663A,Gl-644C
7.352255905502745,Gl-663A,Gl-644A
6.164419039130937,Gl-663A,Gl-643
9.22174041165766,Gl-663A,Gl-702B
9.22174041165766,Gl-663A,Gl-702A
6.568773195962849,Gl-664,Gl-674
9.831048321516887,Gl-664,Gl-754
5.841403572772557,Gl-664,Gl-682
8.64822086847925,Gl-664,Gl-588
9.326679976283096,Gl-664,Gl-618B
9.326679976283096,Gl-664,Gl-618A
6.167298526907872,Gl-664,Gl-667C
6.166317229919331,Gl-664,Gl-667A
0.5386929180897023,Gl-664,Gl-663B
0.538650368977873,Gl-664,Gl-663A
0.0,Gl-664,Gl-664
9.658639455430562,Gl-664,Gl-729
8.84340685539233,Gl-664,GJ-1224
6.587892940083345,Gl-664,Gl-628
7.156745375518121,Gl-664,Gl-644C
7.17573124218013,Gl-664,Gl-644A
6.138724164677868,Gl-664,Gl-643
9.395662906894861,Gl-664,Gl-702B
9.395662906894861,Gl-664,Gl-702A
9.562127132599734,Gl-729,Sun
8.117344490657029,Gl-729,Gl-551
7.990131368757338,Gl-729,Gl-559B
7.990131368757338,Gl-729,Gl-559A
8.595754787684442,Gl-729,Gl-845
7.8486605870046375,Gl-729,Gl-674
7.905031199811927,Gl-729,Gl-682
7.211556682852879,Gl-729,Gl-825
9.978235983379028,Gl-729,Gl-887
9.184481901011074,Gl-729,Gl-663B
9.184544240733993,Gl-729,Gl-663A
9.658639455430562,Gl-729,Gl-664
0.0,Gl-729,Gl-729
9.497975854359707,Gl-729,Gl-866AB
7.738614556882904,Gl-729,Gl-628
9.194139831979934,Gl-729,Gl-702B
9.194139831979934,Gl-729,Gl-702A
5.4074326754939825,Gl-729,Gl-699
4.026750973179246,Gl-884,Gl-879
5.07941126509756,Gl-884,Gl-881
0.0,Gl-884,Gl-884
3.8062441671548086,Gl-884,Gl-867B
3.8062441671548086,Gl-884,Gl-867A
4.478063899722736,Gl-884,NN-4274
7.165843449308672,Gl-884,GJ-1276
9.452561334897542,Gl-884,GJ-1286
0.0,Gl-216A,Gl-216A
0.012654643416547167,Gl-216A,Gl-216B
7.822595968730585,Gl-216A,Gl-229
4.488812267181598,Gl-216A,Gl-185A
9.067175699742451,Gl-216A,Gl-223.2
0.012654643416547167,Gl-216B,Gl-216A
0.0,Gl-216B,Gl-216B
7.823244726454618,Gl-216B,Gl-229
4.484533733845695,Gl-216B,Gl-185A
9.058679533464026,Gl-216B,Gl-223.2
9.18184659477602,Gl-229,Gl-191
7.822595968730585,Gl-229,Gl-216A
7.823244726454618,Gl-229,Gl-216B
0.0,Gl-229,Gl-229
9.268778714048578,Gl-229,Gl-300
8.839070845965654,Gl-229,Gl-185A
9.652871676863832,Gl-229,Gl-166C
9.652871676863832,Gl-229,Gl-166B
9.659501888813939,Gl-229,Gl-166A
6.691957260772069,Gl-229,Gl-223.2
6.704842668549353,Gl-229,Gl-205
7.475167285753544,Gl-229,Gl-234A
7.811936923068439,Gl-229,NN-3379
8.375764815824285,Gl-357,Gl-318
0.0,Gl-357,Gl-357
9.98498320529384,Gl-357,Gl-382
9.268778714048578,Gl-300,Gl-229
0.0,Gl-300,Gl-300
8.93669520404495,Gl-300,Gl-285
7.148515421400447,Gl-570A,Gl-588
2.763131623719724,Gl-570A,NN-3877
9.988752982229563,Gl-570A,Gl-663B
9.988644611757893,Gl-570A,Gl-663A
0.0,Gl-570A,Gl-570A
0.0016673332000533628,Gl-570A,Gl-570B
