#Name,x-pos,y-pos,z-pos,dist,bright,temp
Gl-336.2A,-2.9440,-72.0593,-2.4205,72.1600,0.0520,5341.7087
Gl-284,-11.7457,-58.0898,11.0625,60.2890,2.8054,5372.7941
Gl-784,16.6282,-1.5110,10.8275,19.9001,0.0211,3901.9253
NN-4119,56.3702,-6.0430,29.5964,63.9536,0.0331,4051.1958
Gl-540.3,48.8492,-43.6696,-18.0006,67.9507,1.1588,5967.5435
Gl-191,-3.4188,-9.6146,7.4378,12.6273,0.0038,3719.8185
Gl-828A,33.7859,-2.7161,34.9426,48.6811,0.1977,4969.7612
Gl-145,-7.1385,-22.5064,31.7697,39.5829,0.0033,3691.1685
Gl-594,48.8463,-26.0118,-8.2062,55.9457,4.4055,6880.2418
GJ-1061,-2.6274,-8.0217,11.1672,13.9984,0.0001,3276.6743
Gl-404,11.2617,-54.2792,-13.3566,57.0216,0.1706,6299.5513
Gl-435,13.3328,-36.8135,-11.7290,40.8726,0.1067,4603.1486
Gl-682,14.8562,-3.7038,1.7811,15.4141,0.0008,3581.0028
Gl-257A,-7.1908,-25.6210,8.3859,27.9011,0.0017,3567.7091
Gl-812.1,49.3838,-2.8430,42.5259,65.2327,0.8954,6046.9729
Gl-571,46.6863,-31.5586,-12.9922,57.8304,0.0238,4103.6395
Gl-115,-6.2036,-25.0425,45.9438,52.6920,0.1318,6170.4797
NN-4386,17.9835,-9.9204,56.8015,60.4006,0.0022,3594.3995
Gl-808.1,51.2157,-2.8348,41.5718,66.0250,4.2073,7158.2024
Gl-634,56.0220,-20.0345,-1.6257,59.5189,0.0069,3719.8185
Gl-103,-3.3443,-16.3996,33.4504,37.4041,0.0331,3966.8287
Gl-20,10.2007,-9.0504,43.7326,45.8095,6.9823,8402.6953
Gl-264.1A,-13.0075,-45.6337,13.8051,49.4187,1.2023,5815.2137
Gl-264.1B,-13.0075,-45.6337,13.8051,49.4187,0.3837,5280.6719
Gl-480.1,19.5264,-32.6179,-13.2751,40.2671,0.0017,3477.4388
Gl-264,-14.3549,-50.1833,15.1871,54.3606,0.0817,4348.3479
Gl-237,-18.8075,-57.6364,24.0752,65.2327,0.0203,3823.8388
GJ-1071,-19.1904,-48.4441,48.0877,70.9051,0.1180,4493.2579
Gl-370,0.9099,-31.2717,-4.4862,31.6050,0.0718,4348.3479
Gl-707,46.2297,-8.2385,9.7774,47.9652,0.0847,4103.6395
GJ-1088,-13.0125,-37.1072,18.5735,43.4884,0.0018,3662.9729
Gl-657,54.5819,-15.2726,2.2773,56.7241,14.9968,6827.4357
Gl-915,7.2509,-3.9055,24.0718,25.4418,0.0005,9328.3342
Gl-139,-3.7501,-10.7592,16.9652,20.4363,0.6730,5567.7287
Gl-321.1,-8.6732,-66.2716,-0.0552,66.8368,8.7096,5078.2300
Gl-604,49.9229,-22.6454,-7.8339,55.3758,0.1514,4471.9379
Gl-683.1,70.5708,-15.5609,7.3823,72.6422,0.5861,5778.4237
NN-4193,46.3016,-0.9487,47.8124,66.5639,0.0031,3748.9340
Gl-187.1,-19.4103,-45.9550,37.8227,62.6033,0.0310,5468.4090
Gl-894,21.3918,-4.3006,48.2436,52.9486,0.0161,4086.0014
NN-4036,59.8977,-10.6669,9.2566,61.5403,0.0089,3778.5271
Gl-32B,6.1767,-8.1833,38.7353,40.0692,0.0313,4175.8130
Gl-32A,6.1767,-8.1833,38.7353,40.0692,0.0570,4368.4464
Gl-174.1A,-22.0457,-49.8778,48.2355,72.8043,9.4624,7216.7630
Gl-654.3,57.3153,-15.1999,0.8326,59.3024,0.1393,4625.8097
Gl-57,3.0910,-14.7062,53.2002,55.2819,0.0221,3950.3928
NN-4224AB,31.6134,-0.2032,37.9836,49.4187,0.0026,3662.9729
NN-4353,22.2892,-6.2161,60.9906,65.2327,0.0059,3854.6801
Gl-851.2,34.0275,-0.7869,48.5622,59.3024,0.9290,5778.4237
GJ-1147,19.5322,-58.3261,-21.7224,65.2327,0.0011,3490.0442
GJ-1066,-16.2756,-36.3050,46.9495,61.5403,0.0824,4289.1989
Gl-588,17.1626,-8.8595,-4.1513,19.7555,0.0060,3763.6701
